,Year,Boys,Girls,White,Black,Hispanic,Asian or Pacific Islander,American Indian or Alaska Native,Multiracial
0,2000,10.0,2.9,7.283333333333334,7.0200000000000005,,,,
1,2002,10.533333333333333,2.5,7.286666666666666,5.753333333333333,3.5076923076923077,4.709090909090909,,
2,2004,12.544444444444444,2.888888888888889,8.155555555555557,6.566666666666666,5.5875,7.983333333333333,,
3,2006,14.174999999999999,3.125,9.458333333333334,7.45,4.875,6.659999999999999,,
4,2008,20.22666666666667,4.506666666666666,14.573333333333332,11.553333333333335,7.806666666666667,8.1,,
5,2010,23.541666666666668,5.283333333333333,15.799999999999999,11.6,10.325,11.4,,
6,2012,23.675,5.341666666666666,15.833333333333334,13.35,10.1,11.777777777777779,,
7,2014,27.666666666666668,6.808333333333334,18.183333333333334,16.3,13.466666666666667,13.433333333333332,,
8,2016,30.125,7.1499999999999995,19.308333333333334,18.349999999999998,14.133333333333333,16.900000000000002,,
9,2018,38.1,9.083333333333334,22.925,23.80909090909091,21.563636363636363,21.86,31.0,
10,2020,43.725,11.424999999999999,24.96666666666667,30.11818181818182,29.358333333333334,35.63636363636363,26.65,23.53
11,2022,48.9375,14.25625,28.74285714285714,39.67692307692308,34.26875,39.59285714285714,121.0,34.69166666666667
