,State,Year,Boys,Girls,White,Black,Hispanic,Asian or Pacific Islander,American Indian or Alaska Native,Multiracial
18,Total,2000,,,,,,,,
40,Total,2002,11.5,2.7,7.7,6.5,,,,
62,Total,2004,12.9,2.9,9.7,6.9,6.2,,,
84,Total,2006,14.5,3.2,9.9,7.2,5.9,,,
106,Total,2008,18.4,4.0,12.0,10.2,7.9,9.7,,
128,Total,2010,23.7,5.3,15.8,12.3,10.8,12.3,,
150,Total,2012,23.4,5.2,15.3,13.1,10.1,11.4,,
172,Total,2014,26.6,6.6,17.2,16.0,14.0,13.5,,
194,Total,2016,29.7,6.9,18.5,18.3,15.4,17.9,,
216,Total,2018,36.5,8.8,21.2,22.3,22.5,22.2,29.0,
238,Total,2020,43.0,11.4,24.3,29.3,31.6,33.4,26.5,22.9
257,Total,2022,49.2,14.3,27.7,36.6,33.0,38.2,37.5,31.9
